#{"t_start": 1761574197.8019698, "env_id": "None"}
r,l,t
-50.177536,1000,18.630884
-66.10108,1000,18.630944
-58.04159,1000,18.630954
-57.09525,1000,18.630958
-59.11897,1000,18.630961
-52.38057,1000,18.630965
-54.860645,1000,18.630969
-46.76779,1000,18.630972
-50.46394,1000,44.631128
-37.908257,1000,44.631185
-42.56733,1000,44.631193
-28.870499,1000,44.631198
-41.379276,1000,44.631202
-64.28533,1000,44.631205
-72.221725,1000,44.631208
-27.350613,1000,44.631212
-33.333496,1000,72.06816
-58.903763,1000,72.068225
-56.834282,1000,72.068235
-50.494892,1000,72.068239
-50.52988,1000,72.068244
-38.46138,1000,72.068248
-63.332966,1000,72.068252
-53.94718,1000,72.068256
-54.397156,1000,160.594099
-52.898335,1000,160.594161
-74.52171,1000,160.594169
-53.068344,1000,160.594173
-60.144585,1000,160.594177
-28.315502,1000,160.594181
-40.06308,1000,160.594185
-62.328377,1000,160.594189
-50.570152,1000,187.104912
-59.853664,1000,187.104968
-54.703552,1000,187.104976
-65.64842,1000,187.104981
-58.598377,1000,187.104985
-61.130352,1000,187.104988
-55.055973,1000,187.104992
-70.58772,1000,187.104995
-64.91193,1000,213.275302
-71.15331,1000,213.275369
-63.099243,1000,213.275379
-63.696007,1000,213.275385
-69.38728,1000,213.27539
-68.64065,1000,213.275394
-58.954926,1000,213.275399
-70.09915,1000,213.275403
-71.24547,1000,278.590805
-67.62551,1000,278.590869
-73.13377,1000,278.590878
-61.904366,1000,278.590883
-65.51689,1000,278.590888
-66.6663,1000,278.590893
-60.144672,1000,278.590896
-66.887,1000,278.590901
-62.546497,1000,307.687997
-62.82496,1000,307.688067
-66.16504,1000,307.688078
-65.51685,1000,307.688084
-64.16906,1000,307.688089
-70.39427,1000,307.688094
-57.528763,1000,307.688098
-68.85771,1000,307.688104
-64.15737,1000,334.805212
-65.98603,1000,334.805273
-63.575825,1000,334.805284
-59.595646,1000,334.805289
-64.028435,1000,334.805294
-56.834335,1000,334.805298
-68.42065,1000,334.805302
-59.999737,1000,334.805307
-36.666725,1000,417.893389
-33.82368,1000,417.893444
-61.130432,1000,417.893452
-32.039055,1000,417.893456
-67.55114,1000,417.89346
-55.390156,1000,417.893464
-47.194645,1000,417.893468
-46.236534,1000,417.893472
-37.499996,1000,444.654826
-32.203587,1000,444.654881
-23.077118,1000,444.654889
-22.818989,1000,444.654892
-30.59947,1000,444.654896
-68.309425,1000,444.654899
-32.721863,1000,444.654903
-13.907494,1000,444.654906
-24.13814,1000,472.01788
-56.521427,1000,472.017946
-57.894497,1000,472.017956
1.0099609,1000,472.017962
-33.53481,1000,472.017967
-22.034132,1000,472.017972
-23.913296,1000,472.017977
-31.297989,1000,472.017981
-72.97247,1000,557.746181
-21.397686,1000,557.746236
-65.51681,1000,557.746245
-15.825154,1000,557.74625
-10.9591,1000,557.746255
7.3618503,1000,557.74626
-30.31386,1000,557.746264
-26.174665,1000,557.746268
-60.655334,1000,585.329821
31.672295,1000,585.329889
60.642982,1000,585.329901
56.935127,1000,585.329908
31.205517,1000,585.329913
-14.040376,1000,585.329918
-34.028004,1000,585.329922
-26.605772,1000,585.329927
-9.4339285,1000,614.736272
69.01484,1000,614.736336
8.196621,1000,614.736346
53.285023,1000,614.736351
101.41429,1000,614.736356
42.349216,1000,614.736361
49.15305,1000,614.736365
77.4751,1000,614.73637
107.54839,1000,708.717033
98.143,1000,708.717093
129.23639,1000,708.717102
105.1292,1000,708.717107
57.894783,1000,708.717111
83.52176,1000,708.717114
88.88992,1000,708.717118
80.55664,1000,708.717121
61.76586,1000,734.298723
53.58487,1000,734.298779
187.76842,1000,734.298787
91.012314,1000,734.298791
23.810436,1000,734.298795
95.9471,1000,734.298799
-26.686102,1000,734.298803
57.535484,1000,734.298806
135.29521,1000,761.642392
226.23978,1000,761.642458
30.138216,1000,761.642469
37.585007,1000,761.642474
164.14897,1000,761.642478
76.89647,1000,761.642483
149.18912,1000,761.642488
220.68816,1000,761.642492
205.83983,1000,856.208397
82.0999,1000,856.208451
111.94151,1000,856.208459
241.05745,1000,856.208463
318.96964,1000,856.208467
261.96106,1000,856.20847
245.4523,1000,856.208482
228.66829,1000,856.208485
233.33122,1000,883.432115
55.990036,1000,883.43218
235.68634,1000,883.432191
175.40887,1000,883.432196
237.88315,1000,883.4322
331.99734,1000,883.432205
280.0721,1000,883.43221
230.93298,1000,883.432215
235.73747,1000,911.011532
-24.73087,1000,911.011607
325.37054,1000,911.011618
328.06805,1000,911.011624
269.27832,1000,911.011629
327.53363,1000,911.011634
320.85983,1000,911.011639
152.48946,1000,911.011644
422.7233,1000,996.672583
178.12172,1000,996.672638
373.3307,1000,996.672646
506.29572,1000,996.67265
144.64581,1000,996.672654
185.19502,1000,996.672658
417.72845,1000,996.672661
462.01328,1000,996.672665
569.25934,1000,1024.497135
335.06226,1000,1024.49719
381.72485,1000,1024.497198
452.53867,1000,1024.497202
268.41788,1000,1024.497206
315.33197,1000,1024.49721
58.41713,1000,1024.497213
416.77554,1000,1024.497217
612.6876,1000,1051.003551
569.1984,1000,1051.003609
291.17294,1000,1051.003618
184.34181,1000,1051.003623
324.23865,1000,1051.003627
63.569237,1000,1051.003631
314.01,1000,1051.003635
498.53586,1000,1051.00364
549.12134,1000,1080.373165
435.1134,1000,1080.373227
208.91333,1000,1080.373237
599.6343,1000,1080.373242
520.68567,1000,1080.373247
289.4351,1000,1080.373251
142.80766,1000,1080.373255
377.12012,1000,1080.373259
299.9954,1000,1175.188085
14.1985,1000,1175.188147
500.0,1000,1175.188156
668.42285,1000,1175.188161
62.26425,1000,1175.188166
812.41235,1000,1175.18817
878.50214,1000,1175.188174
-19.579967,1000,1175.188179
904.70294,953,1203.15128
704.5621,1000,1203.997801
722.70056,1000,1203.997859
584.0137,1000,1203.997868
759.10864,1000,1203.997873
660.0013,1000,1203.997878
551.09076,1000,1203.997882
613.83777,1000,1203.997886
409.61172,1000,1233.610998
555.8502,1000,1234.207262
686.6731,1000,1234.207335
264.77524,1000,1234.207346
617.328,1000,1234.207352
855.5624,1000,1234.207358
619.5969,1000,1234.207362
609.67865,1000,1234.207367
908.0052,920,1327.472042
263.2606,1000,1327.903969
625.6934,1000,1328.679046
249.64612,1000,1328.679103
217.15967,1000,1328.679112
560.31537,1000,1328.679118
896.3151,1000,1328.679122
295.3447,1000,1328.679126
276.66238,1000,1358.01158
907.90497,921,1358.032293
98.57896,1000,1358.440994
81.49362,1000,1359.041601
142.89792,1000,1359.041667
835.4926,1000,1359.041677
290.79987,1000,1359.041684
580.7003,1000,1359.041688
69.67488,1000,1387.956124
401.84027,1000,1387.976422
223.07285,1000,1388.342335
297.622,1000,1388.872952
468.76865,1000,1388.873025
416.41397,1000,1388.873035
869.5869,1000,1388.87304
323.94473,1000,1388.873045
401.869,1000,1480.135514
889.2574,1000,1480.153451
205.14264,1000,1480.477208
321.36148,1000,1481.035723
306.03598,1000,1481.035773
363.1544,1000,1481.035781
391.46283,1000,1481.035785
390.63278,1000,1481.035789
922.40045,776,1505.205822
908.5053,915,1506.758068
843.3403,1000,1506.820898
862.97284,1000,1506.840749
269.56052,1000,1507.214004
332.5116,1000,1507.791181
527.46124,1000,1507.79124
285.4546,1000,1507.79125
830.4691,1000,1527.039698
513.56934,1000,1534.985124
855.5624,1000,1535.050828
854.20703,1000,1535.069997
478.61148,1000,1535.43486
216.35898,1000,1535.956858
222.80237,1000,1535.956917
896.2794,1000,1535.956927
682.60925,1000,1622.257437
263.03168,1000,1630.753086
655.35925,1000,1630.820508
825.5727,1000,1630.839072
783.9682,1000,1631.21582
359.8035,1000,1631.777252
892.5998,1000,1631.777312
836.5115,1000,1631.777322
260.85187,1000,1649.428365
452.62802,1000,1657.419094
769.56323,1000,1657.470344
745.0247,1000,1657.487
870.91693,1000,1657.832328
787.0481,1000,1658.345177
649.1947,1000,1658.345226
584.2128,1000,1658.345234
876.5129,1000,1674.919062
15.647301,1000,1685.833662
788.5084,1000,1685.890852
334.62427,1000,1685.907903
182.27765,1000,1686.227583
539.4329,1000,1686.706563
503.55112,1000,1686.706612
633.1168,1000,1686.70662
853.6755,1000,1769.432598
555.91016,1000,1780.968686
788.1846,1000,1781.037442
263.037,1000,1781.060195
387.87427,1000,1781.409256
330.50375,1000,1781.956904
266.90192,1000,1781.956963
412.1923,1000,1781.956977
369.3092,1000,1797.829693
344.0631,1000,1806.80355
516.67645,1000,1806.860717
223.62091,1000,1806.878627
171.23709,1000,1807.20462
712.88654,1000,1807.764777
343.17703,1000,1807.764835
274.20908,1000,1807.764845
184.42673,1000,1825.318113
294.2267,1000,1828.016752
5.6342354,1000,1828.123382
308.78146,1000,1828.149856
818.9254,1000,1835.024136
-5.5936823,1000,1835.617103
286.88086,1000,1835.617157
280.6404,1000,1835.617167
26.071259,599,1850.114553
132.94969,1000,1898.372286
492.92136,1000,1899.827676
-2.7770221,1000,1899.906541
60.71447,1000,1899.928632
55.235138,1000,1900.407036
370.17157,1000,1908.003564
277.21964,1000,1908.003617
209.27359,1000,1923.972987
362.5807,1000,1925.783214
350.54562,1000,1927.681444
275.43414,1000,1927.785386
258.05966,1000,1927.821476
195.59265,1000,1928.504012
93.54597,1000,1935.794925
221.16321,1000,1935.795004
312.3336,1000,1950.980518
289.23648,1000,1952.802486
260.38535,1000,1954.278415
265.244,1000,1954.371167
448.69763,1000,1954.395357
583.10364,1000,1954.917785
192.77156,1000,1955.709104
175.25662,1000,1955.709157
353.01584,1000,1976.581082
252.10776,1000,2040.647161
515.11896,1000,2044.110713
285.7097,1000,2044.249898
-0.35511088,1000,2044.293126
224.49881,1000,2045.096505
334.50012,1000,2046.297225
450.8736,1000,2046.297277
303.61017,1000,2069.130028
280.1323,1000,2071.018388
216.35901,1000,2072.649608
384.84366,1000,2072.729772
373.89142,1000,2072.759452
378.42657,1000,2073.281847
575.48285,1000,2074.084819
151.51031,1000,2074.084885
179.7574,1000,2097.846504
230.15414,1000,2099.658772
889.5886,1000,2101.115644
850.0101,1000,2101.179504
281.266,1000,2101.200782
195.36908,1000,2101.584239
86.37855,1000,2102.330725
508.22,1000,2102.330777
367.79187,1000,2125.387384
198.96439,1000,2127.287245
875.3622,1000,2194.31313
403.84183,1000,2194.446661
455.55078,1000,2194.483264
285.41223,1000,2195.295449
301.98892,1000,2196.506868
525.8605,1000,2196.506919
72.413506,1000,2212.162483
352.76398,1000,2222.078369
151.27742,1000,2223.690598
270.81656,1000,2223.759718
259.15012,1000,2223.778991
689.8107,1000,2224.164487
624.3934,1000,2224.712958
427.6543,1000,2224.713008
328.56744,1000,2239.058207
549.31134,1000,2247.666144
210.55426,1000,2249.118656
111.26436,1000,2249.180276
355.8784,1000,2249.200753
484.71744,1000,2249.544693
197.19803,1000,2251.4755
263.63208,1000,2251.475554
340.29434,1000,2266.664037
694.52386,1000,2276.679821
469.81067,1000,2278.32349
665.1608,1000,2278.39475
315.8691,1000,2278.415687
225.87439,1000,2278.819004
326.22513,1000,2279.364416
204.7572,1000,2279.364471
321.04794,1000,2361.884053
927.10297,729,2362.766414
660.0112,1000,2371.06204
442.85516,1000,2372.662432
168.8482,1000,2372.681957
423.07355,1000,2373.070621
453.5143,1000,2373.580233
780.14215,1000,2373.580282
158.67068,1000,2389.523184
670.32697,1000,2390.281832
239.67831,1000,2399.421833
198.07257,1000,2400.920048
142.13362,1000,2400.938679
595.2144,1000,2401.275913
346.03934,1000,2401.795339
484.50177,1000,2401.795395
542.86456,1000,2416.902198
820.1442,1000,2417.702281
855.8907,1000,2428.551859
399.9967,1000,2430.133329
124.84787,1000,2430.153397
848.8304,1000,2430.511587
875.72156,1000,2431.034729
334.30173,1000,2431.03478
875.4163,1000,2513.08415
393.05145,1000,2513.712934
882.2157,1000,2524.048202
339.99597,1000,2525.547074
815.2603,1000,2525.565621
835.1248,1000,2525.91196
217.60538,1000,2526.44315
450.1491,1000,2526.443196
314.37918,1000,2540.732261
862.2066,1000,2541.346703
341.4669,1000,2543.90608
605.1288,1000,2552.135113
282.63284,1000,2552.155647
226.46648,1000,2552.529795
550.9205,1000,2554.495543
861.5477,1000,2554.495602
203.79324,1000,2569.278365
23.029545,1000,2569.775258
833.10785,1000,2572.412679
363.66342,1000,2580.993397
326.22504,1000,2581.013953
194.91061,1000,2581.37062
340.62027,1000,2581.894489
209.85446,1000,2581.894543
879.2487,1000,2643.118828
312.3338,1000,2643.605161
873.4248,1000,2645.426839
446.02878,1000,2655.770014
311.4078,1000,2655.787608
516.17084,1000,2656.12053
60.58531,1000,2656.745442
401.6905,1000,2656.745488
916.60455,834,2669.181499
-16.66628,1000,2670.598687
-2.140318,1000,2673.167012
478.94318,1000,2682.39532
513.1466,1000,2682.417986
77.77914,1000,2682.819797
76.244804,1000,2683.400594
433.7807,1000,2683.400666
870.302,1000,2698.022123
855.2327,1000,2699.39191
287.89597,1000,2701.894341
15.524429,1000,2711.043121
70.64954,1000,2711.062433
224.41025,1000,2711.51568
317.5786,1000,2712.022112
889.5165,1000,2712.022166
305.65652,1000,2794.192594
731.6879,1000,2795.497117
885.7222,1000,2797.550469
257.57208,1000,2806.931465
681.04755,1000,2806.949232
413.19257,1000,2807.397024
410.13208,1000,2807.864647
53.062508,1000,2807.864693
212.28827,1000,2821.213343
165.22852,1000,2822.492969
307.76355,1000,2825.980561
724.17816,1000,2828.682431
544.6039,1000,2828.716935
864.8504,1000,2835.484448
831.7444,1000,2836.067219
629.53656,1000,2836.067284
339.7128,1000,2848.478855
255.86765,1000,2849.705468
856.8721,1000,2851.602253
784.06055,1000,2853.711235
612.90906,1000,2853.738307
248.09744,1000,2862.962159
252.48587,1000,2863.451988
515.8968,1000,2863.452041
254.30075,1000,2876.620111
336.16693,1000,2938.701192
534.15485,1000,2942.859384
286.7596,1000,2946.356466
666.7917,1000,2946.402696
878.4245,1000,2947.214983
523.37476,1000,2954.250348
369.74667,1000,2954.250401
224.13469,1000,2961.906108
908.2063,918,2968.950078
-17.197142,1000,2971.615187
578.2342,1000,2973.664992
290.10574,1000,2973.693225
664.2665,1000,2974.137716
850.00507,1000,2974.676811
895.92474,1000,2974.676881
