#{"t_start": 1762125823.7073977, "env_id": "None"}
r,l,t
-46.618885,1000,105.457187
-54.801746,1000,105.457269
-47.55209,1000,105.457281
-40.59377,1000,105.457287
-55.974373,1000,105.457291
-34.06571,1000,105.457296
-47.916332,1000,105.457301
-42.965622,1000,105.457305
-53.642155,1000,105.45731
-50.58098,1000,105.457314
-53.01971,1000,105.457318
-48.62977,1000,105.457322
-49.494545,1000,105.457326
-44.055637,1000,105.45733
-47.91622,1000,105.457334
-40.074635,1000,105.457338
-45.337357,1000,105.457341
-48.640015,1000,105.457345
-40.29842,1000,105.457349
-48.90478,1000,105.457353
-43.181618,1000,105.457356
-34.693947,1000,105.45736
-45.25517,1000,105.457364
-44.63634,1000,105.457367
-51.767986,1000,105.457371
-45.762344,1000,105.457375
-47.019547,1000,105.457378
-41.860287,1000,105.457382
-41.58043,1000,105.457386
-49.20594,1000,105.45739
-48.979187,1000,105.457394
-37.499886,1000,105.457398
-49.63987,1000,105.457402
-38.2713,1000,105.457405
-40.350647,1000,105.457409
-51.768192,1000,105.457413
-47.88234,1000,105.457416
-49.366665,1000,105.45742
-48.21973,1000,105.457424
-48.97922,1000,105.457427
-69.03978,1000,236.966418
-67.319786,1000,236.9665
-45.945786,1000,236.966512
-49.79061,1000,236.966518
-44.82747,1000,236.966524
-14.28576,1000,236.966529
-41.358036,1000,236.966534
-31.624004,1000,236.96654
-58.01493,1000,236.966545
-46.99637,1000,236.96655
-62.0686,1000,236.966555
-43.333218,1000,236.966559
-67.74146,1000,236.966564
-63.08684,1000,236.966568
-49.82059,1000,236.966573
-62.144756,1000,236.966577
-67.31979,1000,236.966582
-12.547591,1000,236.966586
-21.428694,1000,236.966591
-31.558996,1000,236.966595
-55.782017,1000,236.9666
-33.77494,1000,236.966605
-42.37283,1000,236.966609
-59.107456,1000,236.966614
-32.90748,1000,236.966617
-45.161274,1000,236.966622
-41.379383,1000,236.966625
-39.682484,1000,236.96663
-75.6833,1000,236.966634
-60.288445,1000,236.966638
-36.842102,1000,236.966642
-36.61971,1000,236.966647
-56.678387,1000,236.966651
-46.03163,1000,236.966655
